Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00309,0.032154,-0.00080422,0,0,0,1.5096,0.036974,-4.5139E-09,2.8E-07,0.066747,0.00059586,0.029801,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,Circle Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RWall,-0.26007,0.30935,0.054624,0,0,0,0.25993,0.0042142,8.2698E-19,-8.7535E-21,0.00023376,-3.1975E-08,0.003982,0,0,0,0,0,0,package://Assem1/meshes/RWall.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/RWall.STL,,Right Base Cover-1,Origin_RWall_J,,RWall_J,fixed,0.082219,-0.30717,0.024187,0.016122,0,0,base_link,0,0,0,,,,,,,,,,,,
RMotor,0.0635746027198063,0.3093063,0.0369188809232349,0,0,0,0.174311166935646,7.63049300613636E-05,-2.91448817026934E-20,-8.64726401443752E-07,0.000129582523229778,-2.11758236813575E-22,0.000129389175352264,0,0,0,0,0,0,package://Assem1/meshes/RMotor.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem1/meshes/RMotor.STL,,Motor-3,Origin_RMotor_J,,RMotor_J,fixed,-0.16351,0.61861,0,0,0,3.1416,RWall,0,0,0,,,,,,,,,,,,
RHolder,-0.015,-1.3878E-17,-6.5052E-19,0,0,0,0.18623,0.00019312,2.5799E-37,1.9015E-20,0.00011053,3.7377E-37,0.00011053,0,0,0,0,0,0,package://Assem1/meshes/RHolder.STL,0.098039,0.098039,0.098039,1,0,0,0,0,0,0,package://Assem1/meshes/RHolder.STL,,Wheel Holder-2,Origin_RHolder_J,Axis_RHolder_J,RHolder_J,continuous,0.10957,0.30931,0.04693,1.5547,0,3.1416,RMotor,1,0,0,,,,,,,,,,,,
LWall,0.0963656,0.306947014043264,0.0546235621384063,0,0,0,0.259931483020872,0.00421417942511159,5.19830171192504E-19,8.96205254962918E-21,0.000233764744170253,-3.19752741135293E-08,0.00398197426983946,0,0,0,0,0,0,package://Assem1/meshes/LWall.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/LWall.STL,,Left Base Cover-1,Origin_LWall,,LWall,fixed,0.082219,-0.30717,0.024187,0.016122,0,0,base_link,0,0,0,,,,,,,,,,,,
LMotor,0.0633746027198063,0.3069061,0.036918880923235,0,0,0,0.174311166935646,7.63049300613636E-05,-8.61740218545493E-20,-8.64726401443746E-07,0.000129582523229778,-2.11758236813575E-22,0.000129389175352264,0,0,0,0,0,0,package://Assem1/meshes/LMotor.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem1/meshes/LMotor.STL,,Motor-2,Origin_LMotor_J,,LMotor_J,fixed,0,0,0,0,0,0,LWall,0,0,0,,,,,,,,,,,,
LHolder,0.015,0,-8.67361737988404E-19,0,0,0,0.186233612504803,0.000193124256167481,2.57986041235794E-37,1.90147164257299E-20,0.000110529649021601,3.73766126798668E-37,0.000110529649021601,0,0,0,0,0,0,package://Assem1/meshes/LHolder.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem1/meshes/LHolder.STL,,Wheel Holder-1,Origin_LHolder_J,Axis_LHolder_J,LHolder_J,continuous,0.10937,0.30691,0.04693,1.5547,0,0,LMotor,1,0,0,,,,,,,,,,,,
FWall,-0.0834212256064657,0.0938861000000002,0.0545396939287937,0,0,0,0.22086451023762,0.000198305308587292,-4.89506874945099E-20,-4.72815915055346E-08,0.00254369619199725,6.7762635780344E-21,0.00234671607047139,0,0,0,0,0,0,package://Assem1/meshes/FWall.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/FWall.STL,,Front Base Cover-1,Origin_FWall_J,Axis_FWall_J,FWall_J,fixed,0.0822192517167714,-0.307167638392834,0.0241874937534729,0.0161222628924041,0,0,base_link,0,0,0,,,,,,,,,,,,
BWall,-0.0837958256064657,0.5201261,0.0545396939287938,0,0,0,0.220864510237622,0.000198305308587294,-3.63112643371231E-20,-4.72815915055665E-08,0.00254369619199728,-3.3881317890172E-20,0.00234671607047141,0,0,0,0,0,0,package://Assem1/meshes/BWall.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/BWall.STL,,Back Base Cover-1,Origin_BWall_J,Axis_BWall_J,BWall_J,fixed,0.0822192517167714,-0.307167638392834,0.0241874937534729,0.0161222628924041,0,0,base_link,0,0,0,,,,,,,,,,,,
UWall,-0.0848120800930342,0.30577429822358,0.1090994,0,0,0,0.950849473887881,0.015160328757964,0.000110416902811185,-2.2446373102239E-20,0.0106172485278987,8.40256683676266E-19,0.0257718721890193,0,0,0,0,0,0,package://Assem1/meshes/UWall.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/UWall.STL,,Upper Base Cover-1,Origin_UWall_J,Axis_UWall_J,UWall_J,fixed,0.0822192517167714,-0.307167638392834,0.0241874937534729,0.0161222628924041,0,0,base_link,0,0,0,,,,,,,,,,,,
