Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.034709,0.47964,0.70569,0,0,0,2.6993E-11,3.364E-17,-6.846E-22,-6.6371E-23,6.442E-22,-7.7026E-23,3.364E-17,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.18824,0.23137,0.58824,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,BASE COVER-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseFrameLink,1.925,-0.0345945771464101,0.225000000000282,0,0,0,1.80403166232039,0.0178653936830095,-1.05779713445156E-17,4.26430624171427E-17,0.020396021619498,2.17151528411626E-17,0.0229266495559864,0,0,0,0,0,0,package://Assem1/meshes/BaseFrameLink.STL,0.537254901960784,0.537254901960784,0.537254901960784,1,0,0,0,0,0,0,package://Assem1/meshes/BaseFrameLink.STL,,Extrusion-3;Extrusion-20;Extrusion-19;Extrusion-4;Extrusion-1;Extrusion-9;Extrusion-7;Extrusion-16;Extrusion-18;Extrusion-17;Extrusion-15;Extrusion-13;Extrusion-14;Extrusion-10;Extrusion-5;Extrusion-8;Extrusion-12;Extrusion-2;Extrusion-11;Extrusion-21;Extrusion-22;Extrusion-23;Extrusion-24;Extrusion-6,Origin_BaseFrameJoint,,BaseFrameJoint,fixed,-0.047068,-2.3962,0.40214,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RightMotorLink,0.0635746027198067,0.309306300000008,0.0369188809232509,0,0,0,0.174311166935647,7.63049300613637E-05,-4.22136504340412E-20,-8.64726401443359E-07,0.000129582523229778,-1.05795411259731E-21,0.000129389175352264,0,0,0,0,0,0,package://Assem1/meshes/RightMotorLink.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem1/meshes/RightMotorLink.STL,,Motor-3,Origin_RightMotorJoint,,RightMotorJoint,fixed,1.868,-0.49431,0.13857,0,1.5708,0,BaseFrameLink,0,0,0,,,,,,,,,,,,
RightWheelHolderLink,0.1435656,0.309306299999999,0.0469297000000005,0,0,0,0.186233612504803,0.000193124256167481,7.34683969263929E-36,1.73206505312213E-20,0.000110529649021601,-3.92980039877509E-36,0.000110529649021601,0,0,0,0,0,0,package://Assem1/meshes/RightWheelHolderLink.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/RightWheelHolderLink.STL,,Wheel Holder-2,Origin_RightWheelHolderJoint,Axis_RightWheelHolderJoint,RightWheelHolderJoint,fixed,0.262131200000004,0,0.0938594000000219,-3.14159265358978,0,3.14159265358979,RightMotorLink,0,0,0,,,,,,,,,,,,
LeftMotorLink,0.0635746027198056,0.309306300000002,0.0369188809232283,0,0,0,0.174311166935647,7.63049300613638E-05,-3.79518887414791E-20,-8.64726401443771E-07,0.000129582523229778,-2.67860356837263E-21,0.000129389175352265,0,0,0,0,0,0,package://Assem1/meshes/LeftMotorLink.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://Assem1/meshes/LeftMotorLink.STL,,Motor-2,Origin_LeftMotorJoint,,LeftMotorJoint,fixed,1.9618,-0.49431,0.31143,3.1416,-1.5708,0,BaseFrameLink,0,0,0,,,,,,,,,,,,
LeftWheelHolderLink,0.143565599999999,0.309306300000007,0.0469296999999842,0,0,0,0.186233612504803,0.000193124256167481,-7.98297913806615E-20,-5.47617888991249E-19,0.0001105296490216,0,0.0001105296490216,0,0,0,0,0,0,package://Assem1/meshes/LeftWheelHolderLink.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/LeftWheelHolderLink.STL,,Wheel Holder-1,Origin_LeftWheelHolderJoint,Axis_LeftWheelHolderJoint,LeftWheelHolderJoint,fixed,-0.025,0.017342,-0.065452,0.21686,0,0,LeftMotorLink,0,0,0,,,,,,,,,,,,
FrontSwivelWheelLink,0.0364854927658088,-0.0666056174436166,-4.21934666211543E-06,0,0,0,0.238478719640522,0.000259371959725285,8.08816851793253E-06,6.1545715973198E-09,0.000260349151062166,-1.06514044693641E-08,0.00046823767776299,0,0,0,0,0,0,package://Assem1/meshes/FrontSwivelWheelLink.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/FrontSwivelWheelLink.STL,,JDPE 1251 1001 P.step-1,Origin_FrontSwivelWheelJoint,,FrontSwivelWheelJoint,fixed,1.758,-0.11438,0.225,3.1416,0,3.1416,BaseFrameLink,0,0,0,,,,,,,,,,,,
BackSwivelWheelLink,0.0364854927725196,0.0666056174512983,4.21932540745074E-06,0,0,0,0.238478719887025,0.000259371959802436,-8.0881685293846E-06,-6.1545815367994E-09,0.000260349151135407,-1.06514429607884E-08,0.000468237677765063,0,0,0,0,0,0,package://Assem1/meshes/BackSwivelWheelLink.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://Assem1/meshes/BackSwivelWheelLink.STL,,JDPE 1251 1001 P.step-2,Origin_BackSwivelWheelJoint,,BackSwivelWheelJoint,fixed,2.092,-0.11438,0.225,3.1416,0,0,BaseFrameLink,0,0,0,,,,,,,,,,,,
MainBodyLink,0.924945866748017,0.312240718170233,1.03170937190914,0,0,0,15.7223989505737,1.1613332639017,-0.0384827887462151,-0.00836721922962208,1.31670250326503,0.0140443561818124,0.837150872051241,0,0,0,0,0,0,package://Assem1/meshes/MainBodyLink.STL,0.972549019607843,0.968627450980392,0.929411764705882,1,0,0,0,0,0,0,package://Assem1/meshes/MainBodyLink.STL,,MAIN BODY-1,Origin_MainBodyJoint,,MainBodyJoint,fixed,-0.74707,-0.77167,0.18214,0,0,0,base_link,0,0,0,,,,,,,,,,,,
KinectLink,-0.00683736561252293,0.00422441796679807,0.0318215229406513,0,0,0,0.658654793489767,0.000269650115760434,9.35912056841219E-07,-4.30590322552481E-08,0.0029863532771689,5.71457394023284E-06,0.00311131604592704,0,0,0,0,0,0,package://Assem1/meshes/KinectLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/KinectLink.STL,,Kinect-2,Origin_KinectJoint,,KinectJoint,fixed,0.93145,0.092309,1.2182,0.061807,0,0,MainBodyLink,0,0,0,,,,,,,,,,,,
